Date,Tweet,ID,Time,Impressions,Engagements,Engagement Rate,Retweets,Replies,Likes,User Profile Clicks,URL Clicks,Hashtag Clicks,Detail Expands,Permalink Clicks,App Opens,App Installs,Follows,Email Tweet,Dial Phone,Media Views,Media Engagements
2020-06-21 04:21:00,#AI is the future! Can't wait to see what happens next.,1718333,04:21:00,31731,23431,0.7384,1096,790,3842,349,1,31,564,82,50,31,84,12,3,255,436
2020-06-25 08:31:00,#Football is the future! Can't wait to see what happens next.,5703150,08:31:00,28077,10631,0.3786,58,108,578,27,261,84,4,101,1,16,23,1,10,3260,1166
2020-07-31 21:05:00,#AI is the future! Can't wait to see what happens next.,1669383,21:05:00,34925,25388,0.7269,156,571,2993,427,150,191,49,131,83,41,96,9,9,4211,1021
2020-03-13 09:13:00,Loving the latest updates on #FoodLover!,4541304,09:13:00,48817,5570,0.1141,1397,195,2898,275,68,134,47,335,73,35,7,15,7,3628,1566
2020-08-28 21:42:00,"I just read an article on #Football, and it's amazing!",8299166,21:42:00,21491,19101,0.8888,1128,284,4174,236,82,172,184,214,16,3,2,6,6,2969,2101
2020-02-15 06:31:00,#FoodLover is the future! Can't wait to see what happens next.,4973836,06:31:00,37704,31889,0.8458,1629,846,2990,96,146,154,57,254,57,33,79,14,0,1884,2573
2020-09-21 19:18:00,Loving the latest updates on #FoodLover!,2268531,19:18:00,32263,21922,0.6795,1483,6,533,72,242,180,405,98,0,21,48,9,1,1307,794
2020-01-02 17:35:00,Did you hear about #BreakingNews? Crazy stuff!,3793677,17:35:00,31121,3904,0.1254,463,937,1308,435,263,5,453,258,70,17,58,10,7,4177,2856
2020-11-30 08:29:00,Just saw something interesting about #FoodLover. Thoughts?,8949812,08:29:00,2914,126,0.0432,438,236,2026,87,137,59,301,370,37,39,63,11,0,3352,2219
2020-01-02 20:49:00,"I just read an article on #Gaming, and it's amazing!",3572283,20:49:00,34393,27995,0.814,1197,794,3667,262,0,193,222,99,53,29,71,11,1,4416,1674
2020-07-27 02:02:00,#FoodLover is the future! Can't wait to see what happens next.,7102501,02:02:00,6193,4855,0.7839,62,194,2411,369,169,133,8,49,6,6,28,14,4,3963,299
2020-12-12 10:15:00,"I just read an article on #Gaming, and it's amazing!",6674912,10:15:00,3126,1047,0.3349,145,639,3266,437,184,5,227,25,35,5,67,18,4,1312,960
2020-12-26 21:52:00,#Football is the future! Can't wait to see what happens next.,7774921,21:52:00,26860,9650,0.3593,1098,410,4842,476,177,20,437,130,57,38,18,8,7,706,2713
2020-05-22 01:30:00,"I just read an article on #Gaming, and it's amazing!",3889367,01:30:00,13167,2310,0.1754,1534,5,2640,200,20,49,496,17,4,49,33,12,5,107,2549
2020-11-21 07:51:00,"I just read an article on #BreakingNews, and it's amazing!",9113503,07:51:00,40400,26647,0.6596,1120,268,735,120,195,79,210,54,52,36,44,6,4,2256,339
2020-01-10 03:27:00,"I just read an article on #Gaming, and it's amazing!",2240148,03:27:00,33984,19517,0.5743,1582,733,335,234,10,73,582,214,77,14,29,18,4,3004,509
2020-12-25 20:51:00,Loving the latest updates on #FoodLover!,5767993,20:51:00,4226,4139,0.9794,697,862,360,153,263,53,508,327,12,20,27,3,8,2170,1090
